driver_id,fleet_id,full_name,gender,dob,cnic,phone,license_no,license_expiry,hire_date,experience_years,base_salary_pkr,behavior_profile,harsh_brake_rate,harsh_accel_rate,idle_time_pct,speeding_pct,total_trips,total_km_driven,accidents_count,complaints_count,ratings_avg,active
DR0001,FL002,Ahmed Ahmed,M,1986-09-26,97797-6675742-9,0346-2597897,SND-793856,2024-10-15,2025-05-07,20,61583,good,0.0415,0.0624,0.0713,0.0953,0,0.0,0,0,4.21,False
DR0002,FL002,Zain Butt,M,1997-09-05,19812-9248484-6,0312-6551494,KPK-152796,2027-09-08,2023-04-08,7,44595,poor,0.1907,0.177,0.2833,0.2426,154,53484.5,0,5,4.0,True
DR0003,FL001,Saad Bhatti,M,1989-03-06,23453-7768594-7,0300-1002847,ISB-930244,2028-10-10,2019-05-03,12,70571,dangerous,0.3364,0.284,0.323,0.3889,151,53450.3,1,2,4.02,True
DR0004,FL004,Rizwan Iqbal,M,1995-05-21,96136-7095071-8,0301-2634721,PB-102303,2025-10-30,2021-09-22,8,53274,average,0.1124,0.0774,0.1737,0.1735,135,53811.6,0,6,4.46,True
DR0005,FL002,Usman Javed,M,1993-05-10,34581-3025778-7,0312-8667959,PB-851606,2025-10-16,2019-03-16,7,37062,good,0.0501,0.0469,0.08,0.0478,127,49405.4,0,2,3.42,True
DR0006,FL001,Adeel Nawaz,M,1981-01-14,82512-8261353-8,0346-3972963,BLN-282085,2023-06-10,2023-08-07,24,36786,excellent,0.0097,0.0288,0.0675,0.0141,0,0.0,0,0,3.89,False
DR0007,FL003,Arif Iqbal,M,1987-04-10,69355-3237608-3,0333-9594877,KPK-984027,2029-11-13,2022-06-19,17,65901,dangerous,0.3601,0.2879,0.376,0.3888,161,71977.9,0,6,3.56,True
DR0008,FL002,Shoaib Raja,M,1980-12-13,76046-6408662-2,0321-9059269,BLN-698357,2029-06-25,2025-12-20,27,57359,average,0.0903,0.0812,0.1399,0.1413,135,38320.8,0,6,3.96,True
DR0009,FL003,Zubair Malik,M,1977-05-19,31094-5808610-5,0311-2040738,KPK-313910,2028-01-26,2025-07-09,30,32117,excellent,0.0131,0.0285,0.0276,0.01,150,63160.5,0,8,4.21,True
DR0010,FL001,Zubair Iqbal,M,1997-12-01,60014-7502088-7,0321-1902651,ISB-879794,2024-10-26,2025-10-23,9,43309,good,0.0373,0.038,0.1258,0.0426,140,57204.7,0,5,4.84,True
DR0011,FL002,Arif Bajwa,M,1999-07-09,48558-8529864-3,0301-4136946,PB-870786,2027-10-06,2024-10-08,7,37821,good,0.0424,0.0574,0.0901,0.0663,137,51993.1,1,2,4.25,True
DR0012,FL001,Kamran Malik,M,1976-10-16,91968-6052539-8,0315-7007679,ISB-922116,2029-12-08,2019-09-23,24,50831,poor,0.1752,0.176,0.2452,0.2455,141,49832.0,1,4,3.49,True
DR0013,FL003,Shoaib Iqbal,M,1984-07-27,48479-4664903-9,0345-1147701,ISB-801432,2025-11-18,2025-06-11,22,59207,good,0.0509,0.0643,0.113,0.0627,146,50377.2,0,6,3.27,True
DR0014,FL003,Salman Sheikh,M,1992-04-23,13238-9671603-6,0346-9535166,SND-610451,2022-06-29,2020-11-17,10,49427,average,0.1052,0.0961,0.1315,0.1458,0,0.0,0,0,3.5,False
DR0015,FL002,Muhammad Rana,M,1977-12-08,99837-8117053-2,0312-8302077,ISB-883171,2029-09-11,2020-05-14,24,40076,average,0.1157,0.1024,0.1876,0.1518,137,59084.8,0,8,3.52,True
DR0016,FL004,Rizwan Iqbal,M,1986-08-08,66757-6308382-1,0333-2984841,BLN-106185,2029-03-12,2022-07-29,17,70524,good,0.0653,0.0564,0.1373,0.081,158,61142.8,0,9,3.84,True
DR0017,FL004,Raza Raza,M,1978-11-18,59992-7628900-1,0345-3622672,BLN-330545,2023-07-13,2021-02-28,24,55624,average,0.1056,0.0814,0.1721,0.1772,135,51281.2,0,7,3.74,True
DR0018,FL001,Noor Khan,F,1999-10-30,10659-7611593-9,0346-2428191,KPK-320256,2025-11-09,2024-03-24,6,43876,good,0.0377,0.0575,0.0882,0.0691,159,52892.1,0,8,3.6,True
DR0019,FL004,Omar Raja,M,2000-06-12,94498-2227162-5,0301-5205840,ISB-307007,2028-07-06,2018-08-12,1,61928,poor,0.209,0.1772,0.2731,0.2371,180,61455.2,0,6,3.71,True
DR0020,FL002,Saad Bhatti,M,1989-09-23,84128-7115185-6,0333-3829301,ISB-428429,2024-10-05,2024-11-30,17,44517,average,0.0966,0.0861,0.1769,0.1686,128,48000.6,0,7,4.42,True
DR0021,FL002,Faisal Siddiqui,M,1988-09-13,94613-2375290-5,0311-4295580,KPK-869177,2029-01-10,2023-06-19,16,35011,average,0.097,0.0791,0.1966,0.1271,147,61906.0,0,9,4.66,True
DR0022,FL004,Bilal Ali,M,1999-09-29,95709-3493647-6,0333-4746463,BLN-868844,2025-04-06,2020-12-04,3,38774,average,0.0883,0.1026,0.1612,0.1643,159,57226.1,0,8,4.39,True
DR0023,FL002,Sohail Raja,M,1982-06-10,33480-3452813-8,0321-1678132,PB-898461,2027-06-21,2023-10-08,23,45187,good,0.0589,0.0537,0.1131,0.0736,137,43504.0,0,11,4.83,True
DR0024,FL003,Faisal Ali,M,1976-10-15,44513-3916715-7,0333-7128662,BLN-785073,2022-11-15,2025-04-11,30,63860,good,0.0497,0.0768,0.1035,0.0901,141,49339.9,1,2,4.67,True
DR0025,FL002,Sohail Khan,M,1997-07-06,20104-9632570-5,0312-3520615,PB-265001,2026-01-23,2019-07-25,4,69454,average,0.099,0.0951,0.1845,0.1862,147,53103.4,0,4,4.5,True
DR0026,FL001,Bilal Bajwa,M,1982-03-26,41938-1723841-3,0315-3703298,PB-760120,2027-10-01,2025-04-06,25,32568,poor,0.2044,0.1764,0.3027,0.2891,138,48371.4,0,3,4.13,True
DR0027,FL004,Fatima Mehmood,F,1987-09-19,73133-3861635-4,0333-3394312,BLN-960307,2024-01-15,2018-12-19,13,70842,good,0.0458,0.0434,0.097,0.0519,144,52974.2,0,2,4.02,True
DR0028,FL004,Zubair Malik,M,1979-11-14,29603-2615622-3,0345-1654924,BLN-627778,2023-04-27,2018-03-10,20,36107,good,0.0447,0.0506,0.0702,0.0473,152,47755.2,1,7,4.81,True
DR0029,FL004,Waqar Ansari,M,1991-08-13,40079-9088689-7,0321-2639417,SND-240386,2024-11-08,2018-06-28,8,61269,average,0.1022,0.0782,0.2034,0.1636,155,52925.8,0,4,4.18,True
DR0030,FL001,Junaid Khan,M,2000-12-04,59155-4446353-6,0333-7077878,ISB-262297,2026-10-12,2023-11-12,4,72701,good,0.0433,0.046,0.0749,0.0642,0,0.0,0,0,4.3,False
DR0031,FL003,Bilal Ansari,M,1999-10-07,83281-9116148-5,0320-6777340,SND-871523,2023-07-20,2024-04-03,6,73206,average,0.1053,0.1049,0.1901,0.1022,160,65430.1,0,10,3.38,True
DR0032,FL001,Salman Rizvi,M,1977-05-02,21939-3438206-8,0315-8304421,ISB-167193,2024-12-13,2019-10-22,24,44533,good,0.0406,0.0599,0.0926,0.0244,150,53491.1,0,7,3.92,True
DR0033,FL001,Sohail Ali,M,1982-11-11,36438-9693169-5,0312-1563871,BLN-635348,2027-10-14,2025-03-08,24,45182,average,0.0888,0.0901,0.1614,0.1725,138,45911.7,0,7,4.96,True
DR0034,FL001,Zubair Siddiqui,M,1992-09-22,18993-2512732-9,0320-6840069,KPK-955129,2025-02-06,2022-07-20,11,44830,average,0.0948,0.0959,0.2037,0.1388,137,54690.8,0,4,3.67,True
DR0035,FL003,Ali Nawaz,M,1988-03-14,80504-5196677-8,0333-9113963,PB-894268,2025-10-23,2021-10-25,15,60071,poor,0.1911,0.1606,0.2948,0.2325,133,50276.8,0,2,3.66,True
DR0036,FL003,Imran Raja,M,1985-04-25,77699-9986747-1,0320-5165071,KPK-197527,2026-06-23,2021-07-18,18,74151,average,0.0999,0.0909,0.1682,0.1458,141,47931.1,0,8,3.76,True
DR0037,FL002,Omar Mehmood,M,1983-07-13,41726-5452763-4,0312-4401858,PB-976960,2028-12-08,2023-08-07,22,53332,average,0.1026,0.1039,0.2063,0.1356,152,60811.1,0,2,4.39,True
DR0038,FL004,Nasir Ali,M,1996-08-19,85303-5609255-8,0311-9575399,KPK-517206,2024-06-28,2022-03-02,7,67792,average,0.1085,0.1088,0.138,0.172,146,51836.2,0,6,3.26,True
DR0039,FL004,Arif Butt,M,1995-07-05,51373-1141240-1,0312-7365745,BLN-205641,2025-08-25,2019-05-10,5,53697,average,0.0941,0.095,0.166,0.1456,124,43092.5,0,4,4.05,True
DR0040,FL003,Saad Ansari,M,1984-06-11,57851-7720828-5,0345-4018040,BLN-237509,2028-06-16,2022-09-14,20,74958,average,0.1006,0.1045,0.1782,0.1646,136,41130.8,0,8,3.98,True
DR0041,FL004,Junaid Malik,M,1996-03-20,27625-9673937-9,0321-9164132,KPK-363165,2028-04-21,2018-02-10,3,67213,good,0.0544,0.0513,0.1072,0.0819,151,59770.6,0,6,3.66,True
DR0042,FL003,Junaid Mirza,M,1986-08-27,55107-1332781-7,0301-6890320,BLN-308622,2028-06-20,2022-01-19,17,67741,good,0.0427,0.0399,0.1162,0.0679,139,48735.0,1,5,3.79,True
DR0043,FL002,Faisal Ahmed,M,1992-02-04,31964-6660436-7,0315-7790959,ISB-182954,2023-10-26,2024-11-19,14,52519,good,0.0512,0.0586,0.0959,0.0853,138,51096.8,0,7,4.36,True
DR0044,FL002,Fahad Siddiqui,M,1998-05-15,13027-3097821-4,0320-2343263,PB-275018,2026-06-15,2023-01-20,6,36750,average,0.1194,0.1133,0.1734,0.1511,147,57542.4,0,7,4.59,True
DR0045,FL004,Hina Hussain,F,1981-12-19,50549-4847954-4,0320-8434998,PB-237654,2027-11-28,2018-12-13,19,41180,average,0.1145,0.1026,0.1913,0.1364,0,0.0,0,0,4.06,False
DR0046,FL002,Tariq Rizvi,M,1994-12-15,87441-8659527-7,0346-9955411,KPK-464032,2027-05-27,2019-07-09,6,65367,dangerous,0.3506,0.3043,0.3427,0.4193,155,69970.4,2,8,3.48,True
DR0047,FL001,Arif Malik,M,1990-06-05,74478-9003857-5,0300-8221506,KPK-726003,2024-08-05,2021-03-21,12,30473,average,0.0938,0.0981,0.1958,0.1355,132,44423.8,0,7,3.65,True
