staff_id,fleet_id,full_name,gender,dob,cnic,phone,role,hire_date,base_salary_pkr,active
ST0001,FL004,Adeel Chaudhry,M,1973-06-18,32662-9191918-2,0315-6039762,Mechanic,2025-02-12,41224,True
ST0002,FL003,Ali Farooq,M,1972-07-05,66925-7988074-2,0312-1191837,Mechanic,2025-08-25,60771,True
ST0003,FL002,Asad Nawaz,M,1971-11-06,52838-9428900-4,0311-1847581,HR Manager,2020-08-01,85747,False
ST0004,FL003,Sumera Nawaz,F,1974-01-15,61684-3483236-3,0321-2384877,Cleaner / Detailer,2019-06-30,27796,True
ST0005,FL004,Zubair Hussain,M,1973-10-25,27088-3262755-8,0346-4323709,HR Manager,2021-06-22,91972,True
ST0006,FL001,Nasir Gondal,M,1993-07-08,44898-8215305-6,0315-2503148,Accountant,2019-10-07,52374,True
ST0007,FL001,Shoaib Chaudhry,M,1984-05-21,49953-3839632-6,0315-8419054,IT / Data Analyst,2020-11-13,100840,True
ST0008,FL002,Rizwan Iqbal,M,1978-12-16,21247-2885284-1,0312-3477610,Mechanic,2024-09-09,68467,True
ST0009,FL004,Kashif Javed,M,1974-12-29,12981-6567967-4,0346-4554677,Customer Service Rep,2020-06-04,36678,True
ST0010,FL001,Bushra Hashmi,F,1997-12-12,59362-9838222-1,0320-3857489,Booking Coordinator,2025-03-10,36969,True
ST0011,FL001,Laiba Hussain,F,1972-05-19,60940-5551832-6,0301-1320081,Fleet Manager,2022-03-21,118337,True
ST0012,FL003,Imran Qureshi,M,1992-10-23,73525-9918107-2,0311-4336572,Operations Manager,2024-12-17,102810,False
ST0013,FL003,Kamran Khan,M,1971-10-14,53721-9219709-7,0311-1308234,HR Manager,2019-10-12,82726,True
ST0014,FL003,Asad Iqbal,M,1992-06-26,60747-1494355-9,0320-4784649,Fleet Manager,2020-02-05,99884,True
ST0015,FL002,Usman Ahmed,M,1987-02-23,64700-5032585-3,0333-6240913,IT / Data Analyst,2022-11-04,119620,True
ST0016,FL002,Usman Chaudhry,M,1976-03-20,28102-6184132-9,0311-8215281,HR Manager,2023-07-09,69512,True
ST0017,FL001,Omar Mirza,M,1973-01-16,34134-6328403-3,0300-6346688,HR Manager,2023-04-03,87134,False
ST0018,FL001,Junaid Rana,M,1982-04-13,27241-4099531-1,0315-5477211,Accountant,2018-09-16,60133,True
ST0019,FL002,Muhammad Siddiqui,M,1973-07-26,75840-8864546-6,0311-7500504,Customer Service Rep,2024-09-20,46103,True
ST0020,FL003,Imran Ali,M,1988-04-30,64138-4733840-4,0312-2109583,Fleet Manager,2025-07-30,103209,False
ST0021,FL004,Laiba Hashmi,F,1984-07-29,63066-1701728-7,0321-7612751,Accountant,2022-02-19,79421,True
ST0022,FL001,Ahmed Nawaz,M,1974-11-27,42207-9702386-9,0333-1658532,Customer Service Rep,2022-01-25,48274,True
ST0023,FL003,Ayesha Chaudhry,F,1983-01-23,47475-8740121-3,0333-5939543,Cleaner / Detailer,2021-12-07,30045,False
ST0024,FL001,Usman Bhatti,M,1998-12-25,33562-3270069-7,0333-6426773,Operations Manager,2022-01-26,99549,True
ST0025,FL003,Kamran Chaudhry,M,1990-05-25,95010-3751363-2,0301-2915369,Dispatcher,2018-01-06,44725,True
ST0026,FL004,Kamran Qureshi,M,1992-12-14,82134-7385526-1,0311-6623607,Booking Coordinator,2023-11-14,53530,True
ST0027,FL004,Nadia Malik,F,1978-01-09,50378-6192855-8,0320-4031576,Fleet Manager,2025-08-18,95408,False
ST0028,FL004,Fatima Gondal,F,1981-05-09,75358-1096478-8,0312-4638539,Customer Service Rep,2017-02-21,49295,True
ST0029,FL002,Faisal Ahmed,M,1996-12-20,81741-5665960-9,0312-1820721,Fleet Manager,2023-09-26,104227,True
ST0030,FL003,Ahmed Malik,M,1971-06-16,53399-2471406-1,0301-7995376,IT / Data Analyst,2024-06-26,71681,True
