customer_id,full_name,gender,dob,cnic,nationality,phone,email,city,customer_type,license_no,has_own_license,loyalty_points,total_bookings,registration_date
CU00001,Raza Javed,M,1991-05-24,85886-7042962-1,Pakistani,0301-6021328,raza.javed331@gmail.com,Karachi,Tourist,,False,3019,8,2024-02-16
CU00002,Mehwish Rizvi,F,1962-11-29,N/A,Germany,0321-9842477,mehwish.rizvi424@gmail.com,Rawalpindi,Individual,,False,4297,4,2023-03-06
CU00003,Laiba Ali,F,1964-11-25,73394-5818203-7,Pakistani,0315-6309796,laiba.ali266@gmail.com,Karachi,Government,,False,4304,18,2025-03-23
CU00004,Noor Malik,F,1987-07-22,33580-4904421-5,British Pakistani,0312-1026523,noor.malik122@gmail.com,Lahore,Corporate,ISB-587467,True,966,11,2026-02-19
CU00005,Laiba Ansari,F,1978-07-28,93967-4375360-5,American Pakistani,0320-2138100,laiba.ansari316@gmail.com,Islamabad,Individual,KPK-631302,True,4505,7,2023-10-26
CU00006,Hina Raja,F,1974-12-13,33020-4255041-6,Pakistani,0321-9038102,hina.raja939@gmail.com,Rawalpindi,Tourist,,False,3887,10,2026-06-21
CU00007,Usman Hashmi,M,1966-12-20,70616-7944979-1,Pakistani,0346-6022154,usman.hashmi579@gmail.com,Karachi,Overseas Pakistani,,False,2584,7,2025-02-11
CU00008,Bilal Bajwa,M,1990-10-01,29569-5705338-1,Pakistani,0321-7295495,bilal.bajwa642@gmail.com,Rawalpindi,Overseas Pakistani,BLN-983326,True,1359,8,2025-03-15
CU00009,Omar Gondal,M,1965-03-29,45585-7943579-2,Pakistani,0345-4986975,omar.gondal381@gmail.com,Nathiagali,Tourist,,False,3702,11,2023-09-12
CU00010,Asad Butt,M,1965-01-12,68166-9489182-1,Pakistani,0345-9389519,asad.butt158@gmail.com,Lahore,Individual,,False,1558,9,2023-11-28
CU00011,Asma Raza,F,1994-10-15,77652-3226624-4,Pakistani,0300-8706923,asma.raza397@gmail.com,Rawalpindi,Tourist,,False,4279,14,2022-08-26
CU00012,Ahmed Raja,M,1998-01-16,23513-9733844-5,Pakistani,0300-6236888,ahmed.raja655@gmail.com,Karachi,Individual,,False,1719,5,2023-10-20
CU00013,Asad Hussain,M,1983-11-16,30643-5590865-2,Pakistani,0300-9624506,asad.hussain105@gmail.com,Rawalpindi,Individual,PB-668882,True,2869,12,2025-01-30
CU00014,Usman Javed,M,1996-01-24,54399-8443172-1,Pakistani,0311-1486416,usman.javed483@gmail.com,Rawalpindi,Individual,ISB-211072,True,3142,5,2022-04-21
CU00015,Zubair Butt,M,1991-08-11,N/A,Germany,0315-6966385,zubair.butt320@gmail.com,Karachi,Corporate,,False,2722,10,2023-02-10
CU00016,Bushra Ahmed,F,2001-05-23,71377-2631802-8,Pakistani,0320-8808058,bushra.ahmed482@gmail.com,Peshawar,Individual,PB-334665,True,1177,10,2025-06-17
CU00017,Shoaib Qureshi,M,1968-03-23,13966-2096646-8,Pakistani,0301-6896198,shoaib.qureshi491@gmail.com,Karachi,Corporate,SND-986850,True,1399,8,2023-08-02
CU00018,Laiba Bajwa,F,1965-09-18,95124-2189907-5,Pakistani,0346-8733874,laiba.bajwa411@gmail.com,Lahore,Individual,BLN-533525,True,1954,10,2025-06-25
CU00019,Omar Hashmi,M,1977-03-20,N/A,Germany,0333-6741177,omar.hashmi558@gmail.com,Islamabad,Individual,PB-281493,True,638,11,2026-02-23
CU00020,Sumera Hashmi,F,1965-02-16,68355-3955709-5,Pakistani,0333-2167822,sumera.hashmi613@gmail.com,Karachi,Individual,ISB-818807,True,4885,11,2026-04-29
CU00021,Aisha Hashmi,F,1988-12-06,93379-1003092-3,Pakistani,0311-8599649,aisha.hashmi545@gmail.com,Karachi,Individual,,False,2387,18,2024-03-09
CU00022,Faisal Chaudhry,M,1969-03-23,99071-6109503-7,Pakistani,0321-2497994,faisal.chaudhry597@gmail.com,Karachi,Individual,,False,66,9,2025-06-06
CU00023,Saima Malik,F,1998-03-29,10110-7027124-2,Pakistani,0320-1523193,saima.malik241@gmail.com,Rawalpindi,Individual,,False,3536,9,2025-12-09
CU00024,Zain Mirza,M,1991-12-05,32729-8967020-3,Pakistani,0312-7452434,zain.mirza864@gmail.com,Lahore,Individual,KPK-980764,True,3417,15,2022-11-12
CU00025,Fahad Raja,M,1965-08-18,73792-8327199-3,Pakistani,0301-3302174,fahad.raja658@gmail.com,Islamabad,Individual,SND-578180,True,4951,7,2024-05-21
CU00026,Faisal Nawaz,M,1979-01-09,65675-1124654-8,Pakistani,0312-9417612,faisal.nawaz276@gmail.com,Lahore,Individual,SND-672696,True,4721,4,2024-01-22
CU00027,Ahmed Bajwa,M,1981-09-04,20494-3383832-9,Pakistani,0320-8800337,ahmed.bajwa530@gmail.com,Karachi,Individual,,False,640,11,2024-12-07
CU00028,Sara Iqbal,F,1981-03-11,N/A,UK,0346-6242875,sara.iqbal628@gmail.com,Karachi,Corporate,ISB-460234,True,4382,8,2026-05-14
CU00029,Faisal Nawaz,M,2000-08-22,48616-5852112-3,Pakistani,0300-6101462,faisal.nawaz745@gmail.com,Lahore,Tourist,BLN-373094,True,503,7,2025-07-12
CU00030,Omar Bajwa,M,1962-04-25,73538-2384290-3,Pakistani,0346-2289534,omar.bajwa872@gmail.com,Karachi,Individual,KPK-364294,True,1085,12,2025-06-15
CU00031,Fahad Hussain,M,1960-08-20,96396-8493596-6,Pakistani,0311-5383091,fahad.hussain802@gmail.com,Karachi,Corporate,,False,1934,18,2024-09-20
